candidate_id,tool_name,round_index,parse_valid,compile_success,compile_error,n_cases,n_tasks,atom_count_match_rate,resource_binding_coverage,operation_commit_binding_coverage,provenance_control_binding_coverage,field_sensitivity_pass_rate,surface_invariance_pass_rate,multi_resource_expansion_coverage,injection_stable_extraction_rate,descriptor_score,registered,failure_categories
send_message#round1,send_message,1,True,True,,1,6,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
send_message#round2,send_message,2,True,True,,1,6,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
send_message#round3,send_message,3,True,True,,1,6,1.0,0.0,1.0,1.0,0.2,1.0,0.0,1.0,0.766,False,"['field_sensitivity_failure', 'resource_binding_failure']"
send_money#round0,send_money,0,True,True,,15,90,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.65,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_money#round1,send_money,1,True,True,,15,90,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.65,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_money#round2,send_money,2,True,True,,15,90,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.65,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_money#round3,send_money,3,True,True,,15,90,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.65,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_transaction#round0,send_transaction,0,True,True,,3,18,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.65,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_transaction#round1,send_transaction,1,True,True,,3,18,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.65,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_transaction#round2,send_transaction,2,True,True,,3,18,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.65,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
send_transaction#round3,send_transaction,3,True,True,,3,18,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.65,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure']"
slack_invite_user#round0,slack_invite_user,0,True,True,,1,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.59,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
slack_invite_user#round1,slack_invite_user,1,True,True,,1,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.59,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
slack_invite_user#round2,slack_invite_user,2,True,True,,1,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.59,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
slack_invite_user#round3,slack_invite_user,3,True,True,,1,6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.59,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
update_calendar_event#round0,update_calendar_event,0,True,True,,1,7,0.0,0.0,1.0,1.0,0.167,1.0,1.0,1.0,0.6901,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure']"
update_calendar_event#round1,update_calendar_event,1,True,True,,1,7,0.0,0.0,1.0,1.0,0.167,1.0,1.0,1.0,0.6901,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure']"
update_calendar_event#round2,update_calendar_event,2,True,True,,1,7,0.0,0.0,1.0,1.0,0.167,1.0,1.0,1.0,0.6901,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure']"
update_calendar_event#round3,update_calendar_event,3,True,True,,1,7,0.0,0.0,1.0,1.0,0.167,1.0,1.0,1.0,0.6901,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure']"
update_day_calendar_event#round0,update_day_calendar_event,0,True,True,,1,7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.53,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure']"
update_day_calendar_event#round1,update_day_calendar_event,1,True,True,,1,7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.53,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure', 'operation_commit_binding_failure']"
update_day_calendar_event#round2,update_day_calendar_event,2,True,True,,1,7,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.61,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure']"
update_day_calendar_event#round3,update_day_calendar_event,3,True,True,,1,7,0.0,0.0,1.0,1.0,0.167,1.0,1.0,1.0,0.6901,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'resource_binding_failure']"
update_password#round0,update_password,0,True,True,,5,30,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,False,"['field_sensitivity_failure', 'operation_commit_binding_failure']"
update_password#round1,update_password,1,True,True,,5,30,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,False,"['field_sensitivity_failure', 'operation_commit_binding_failure']"
update_password#round2,update_password,2,True,True,,5,30,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,False,"['field_sensitivity_failure', 'operation_commit_binding_failure']"
update_password#round3,update_password,3,True,True,,5,30,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.79,False,"['field_sensitivity_failure', 'operation_commit_binding_failure']"
update_scheduled_transaction#round0,update_scheduled_transaction,0,False,False,"KeyError:""missing_descriptor_fields:['atom_templates', 'field_bindings', 'multi_resource_policy', 'non_security_fields', 'provenance_control_policy', 'requires_human_review']""",4,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,['parse_or_compile_failure']
update_scheduled_transaction#round1,update_scheduled_transaction,1,True,True,,4,24,1.0,0.0,0.0,0.0,0.2,1.0,0.0,1.0,0.626,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
update_scheduled_transaction#round2,update_scheduled_transaction,2,True,True,,4,24,1.0,0.0,0.0,0.0,0.2,1.0,0.0,1.0,0.626,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
update_scheduled_transaction#round3,update_scheduled_transaction,3,True,True,,4,24,1.0,0.0,0.0,0.0,0.2,1.0,0.0,1.0,0.626,False,"['field_sensitivity_failure', 'resource_binding_failure', 'operation_commit_binding_failure', 'provenance_control_binding_failure']"
update_user_info#round0,update_user_info,0,True,True,,3,18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.67,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'operation_commit_binding_failure']"
update_user_info#round1,update_user_info,1,True,True,,3,18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.67,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'operation_commit_binding_failure']"
update_user_info#round2,update_user_info,2,True,True,,3,18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.67,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'operation_commit_binding_failure']"
update_user_info#round3,update_user_info,3,True,True,,3,18,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.67,False,"['field_sensitivity_failure', 'atom_count_mismatch', 'operation_commit_binding_failure']"
