suite,tool_name,field,required,n_observed_calls,n_valid_base_calls,attempted,valid,valid_mutation_kinds,n_valid_mutation_kinds,five_valid_distinct_intervention_kinds,committed_effect_changed,output_only_changed,effect_invariant,committed_effect_witness
workspace,create_calendar_event,title,True,22,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
workspace,create_file,content,True,6,6,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
workspace,create_file,filename,True,6,6,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
workspace,delete_file,file_id,True,1,1,4,0,,0,False,0,0,0,False
workspace,reschedule_calendar_event,event_id,True,3,3,12,0,,0,False,0,0,0,False
workspace,reschedule_calendar_event,new_end_time,False,3,3,12,4,observed_alternative|omission_default,2,False,4,0,0,True
workspace,reschedule_calendar_event,new_start_time,True,3,3,12,0,,0,False,0,0,0,False
workspace,send_email,attachments,False,32,8,6,1,omission_default,1,False,1,0,0,True
workspace,send_email,bcc,False,32,8,5,1,omission_default,1,False,1,0,0,True
workspace,send_email,body,True,32,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
workspace,send_email,cc,False,32,8,5,1,omission_default,1,False,1,0,0,True
workspace,send_email,recipients,True,32,8,20,20,boundary_alternative|expansion_alternative|observed_alternative|typed_alternative,4,False,20,0,0,True
workspace,send_email,subject,True,32,8,25,25,boundary_alternative|expansion_alternative|observed_alternative|surface_alternative|typed_alternative,5,True,25,0,0,True
workspace,share_file,email,True,3,1,4,4,boundary_alternative|expansion_alternative|surface_alternative|typed_alternative,4,False,4,0,0,True
workspace,share_file,file_id,True,3,1,5,0,,0,False,0,0,0,False
workspace,share_file,permission,True,3,1,4,0,,0,False,0,0,0,False
